token1,token2,next_token
write,open,read
write,close,ED
read,close,ED
open,write,open
read,read,open
write,ED,ST
close,write,close
open,write,ED
write,write,open
open,open,close
close,open,ED
write,close,open
open,close,ED
write,read,close
open,read,ED
read,read,close
close,open,write
ED,ST,read
ST,write,write
open,read,read
write,read,open
read,write,write
write,open,ED
write,write,write
ED,ST,write
read,ED,ST
ST,open,write
read,close,open
read,close,read
read,open,read
read,read,write
open,close,write
open,write,close
read,open,close
close,read,read
ST,read,ED
read,read,ED
close,read,close
ST,open,close
open,write,read
read,write,ED
read,close,write
open,close,read
read,open,ED
open,open,read
ST,read,write
ST,read,close
write,write,close
write,open,write
close,read,ED
ST,write,read
write,close,write
open,close,open
close,open,read
read,open,write
ST,write,close
write,close,read
read,write,open
ST,open,read
write,read,write
write,write,read
close,write,write
read,write,close
write,read,ED
close,write,read
write,write,ED
open,open,write
close,open,close
write,open,close
open,read,open
open,open,ED
close,read,write
ED,ST,open
ST,read,read
write,read,read
ST,write,ED
close,ED,ST
open,read,write
open,write,write
open,ED,ST
read,read,read
read,write,read
ST,open,ED
open,read,close
close,write,ED
